job=40604443 array=40604443_0 host=g3103 partition=gpu-l40s gpu=NVIDIA L40S start=2026-09-25T13:04:24-07:00 commit=06027f571e15eee20259ba4b6f9fef45939b2795 model=qwen_e0 suites=ood conditions=all songs=all shard=0/1
model=qwen_e0 suite=ood tasks=1555 skipped=20 shard=0/1 batches=98 pending=1534
[36/98] n=16 53.96s eos=16 parse=16 done=576/1534 elapsed=2252s
[37/98] n=16 62.57s eos=16 parse=16 done=592/1534 elapsed=2315s
[38/98] n=16 251.21s eos=15 parse=16 done=608/1534 elapsed=2567s
[39/98] n=16 251.06s eos=15 parse=16 done=624/1534 elapsed=2819s
[40/98] n=16 57.69s eos=16 parse=16 done=640/1534 elapsed=2878s
[41/98] n=16 52.22s eos=16 parse=16 done=656/1534 elapsed=2931s
[42/98] n=16 57.78s eos=16 parse=16 done=672/1534 elapsed=2989s
[43/98] n=16 60.64s eos=16 parse=16 done=688/1534 elapsed=3051s
[44/98] n=16 59.44s eos=16 parse=16 done=704/1534 elapsed=3111s
[45/98] n=16 68.79s eos=16 parse=16 done=720/1534 elapsed=3181s
[46/98] n=16 64.81s eos=16 parse=16 done=736/1534 elapsed=3247s
[47/98] n=16 63.34s eos=16 parse=16 done=752/1534 elapsed=3311s
[48/98] n=16 68.8s eos=16 parse=16 done=768/1534 elapsed=3381s
[49/98] n=16 93.92s eos=16 parse=16 done=784/1534 elapsed=3475s
[50/98] n=16 64.5s eos=16 parse=16 done=800/1534 elapsed=3541s
[51/98] n=16 251.21s eos=15 parse=16 done=816/1534 elapsed=3793s
[52/98] n=16 251.85s eos=15 parse=16 done=832/1534 elapsed=4046s
[53/98] n=11 63.9s eos=11 parse=11 done=843/1534 elapsed=4111s
[54/98] n=16 65.33s eos=16 parse=16 done=859/1534 elapsed=4177s
[55/98] n=16 67.74s eos=16 parse=16 done=875/1534 elapsed=4246s
[56/98] n=16 70.02s eos=16 parse=16 done=891/1534 elapsed=4317s
[57/98] n=16 70.86s eos=16 parse=16 done=907/1534 elapsed=4389s
[58/98] n=16 79.29s eos=16 parse=16 done=923/1534 elapsed=4469s
[59/98] n=16 70.38s eos=16 parse=16 done=939/1534 elapsed=4540s
[60/98] n=16 252.06s eos=15 parse=16 done=955/1534 elapsed=4794s
[61/98] n=16 250.92s eos=15 parse=16 done=971/1534 elapsed=5046s
[62/98] n=16 90.31s eos=16 parse=16 done=987/1534 elapsed=5137s
[63/98] n=16 67.67s eos=16 parse=16 done=1003/1534 elapsed=5206s
[64/98] n=16 71.56s eos=16 parse=16 done=1019/1534 elapsed=5279s
[65/98] n=16 63.28s eos=16 parse=16 done=1035/1534 elapsed=5343s
[66/98] n=16 251.59s eos=15 parse=16 done=1051/1534 elapsed=5595s
[67/98] n=16 67.95s eos=16 parse=16 done=1067/1534 elapsed=5664s
[68/98] n=16 205.15s eos=16 parse=16 done=1083/1534 elapsed=5871s
[69/98] n=16 73.58s eos=16 parse=16 done=1099/1534 elapsed=5946s
[70/98] n=16 251.98s eos=15 parse=16 done=1115/1534 elapsed=6199s
[71/98] n=16 252.51s eos=14 parse=16 done=1131/1534 elapsed=6453s
[72/98] n=11 215.71s eos=10 parse=11 done=1142/1534 elapsed=6669s
[73/98] n=16 252.71s eos=15 parse=16 done=1158/1534 elapsed=6924s
[74/98] n=16 81.03s eos=16 parse=16 done=1174/1534 elapsed=7006s
[2026-09-25T15:04:49.864] error: *** JOB 40604443 ON g3103 CANCELLED AT 2026-09-25T15:04:49 DUE to SIGNAL Terminated ***
